age_years,age_months,nutrient,value,unit,drv_type,zinc_phytate_mgpd
0,7,Protein,1.31,g/kg bw per day,PRI,
0,7,Total Fat,40,E%,RI,
0,7,SFA,ALAP,,AI,
0,7,LA,4,E%,AI,
0,7,ALA,0.5,E%,AI,
0,7,EPA+DHA,,mg/d,AI,
0,7,DHA,100,mg/d,AI,
0,7,TFA,ALAP,,AI,
0,7,Total Carbohydrates,,E%,RI,
0,7,Dietary Fibre,,g/d,AI,
0,7,Water,0.8-1.0,L/d,AI,
0,7,Calcium,280,mg/d,PRI,
0,7,Fluoride,0.4,mg/d,AI,
0,7,Iodine,70,μg/d,AI,
0,7,Manganese,0.02-0.5,mg/d,AI,
0,7,Molybdenum,10,μg/d,AI,
0,7,Phosphorus,160,mg/d,AI,
0,7,Potassium,750,mg/d,AI,
0,7,Selenium,15,μg/d,AI,
0,7,Iron,11,mg/d,PRI,
0,7,Copper,0.4,mg/d,AI,
0,7,Magnesium,80,mg/d,AI,
0,7,Zinc,2.9,mg/d,PRI,
0,7,α-Tocopherol,5,mg/d,AI,
0,7,Biotin,6,μg/d,AI,
0,7,Choline,160,mg/d,AI,
0,7,Cobalamin,1.5,μg/d,AI,
0,7,Folate,80,μg DFE/d,PRI,
0,7,Niacin,1.6,mg NE/MJ,PRI,
0,7,Pantothenic Acid,3,mg/d,AI,
0,7,Riboflavin,0.4,mg/d,PRI,
0,7,Thiamin,0.1,mg/MJ,PRI,
0,7,Vitamin A,250,μg RE/d,PRI,
0,7,Vitamin B6,0.3,mg/d,PRI,
0,7,Vitamin C,20,mg/d,PRI,
0,7,Vitamin D,10,μg/d,AI,
0,7,Vitamin K,10,μg/d,AI,
0,8,Protein,1.31,g/kg bw per day,PRI,
0,8,Total Fat,40,E%,RI,
0,8,SFA,ALAP,,AI,
0,8,LA,4,E%,AI,
0,8,ALA,0.5,E%,AI,
0,8,EPA+DHA,,mg/d,AI,
0,8,DHA,100,mg/d,AI,
0,8,TFA,ALAP,,AI,
0,8,Total Carbohydrates,,E%,RI,
0,8,Dietary Fibre,,g/d,AI,
0,8,Water,0.8-1.0,L/d,AI,
0,8,Calcium,280,mg/d,PRI,
0,8,Fluoride,0.4,mg/d,AI,
0,8,Iodine,70,μg/d,AI,
0,8,Manganese,0.02-0.5,mg/d,AI,
0,8,Molybdenum,10,μg/d,AI,
0,8,Phosphorus,160,mg/d,AI,
0,8,Potassium,750,mg/d,AI,
0,8,Selenium,15,μg/d,AI,
0,8,Iron,11,mg/d,PRI,
0,8,Copper,0.4,mg/d,AI,
0,8,Magnesium,80,mg/d,AI,
0,8,Zinc,2.9,mg/d,PRI,
0,8,α-Tocopherol,5,mg/d,AI,
0,8,Biotin,6,μg/d,AI,
0,8,Choline,160,mg/d,AI,
0,8,Cobalamin,1.5,μg/d,AI,
0,8,Folate,80,μg DFE/d,PRI,
0,8,Niacin,1.6,mg NE/MJ,PRI,
0,8,Pantothenic Acid,3,mg/d,AI,
0,8,Riboflavin,0.4,mg/d,PRI,
0,8,Thiamin,0.1,mg/MJ,PRI,
0,8,Vitamin A,250,μg RE/d,PRI,
0,8,Vitamin B6,0.3,mg/d,PRI,
0,8,Vitamin C,20,mg/d,PRI,
0,8,Vitamin D,10,μg/d,AI,
0,8,Vitamin K,10,μg/d,AI,
0,9,Protein,1.31,g/kg bw per day,PRI,
0,9,Total Fat,40,E%,RI,
0,9,SFA,ALAP,,AI,
0,9,LA,4,E%,AI,
0,9,ALA,0.5,E%,AI,
0,9,EPA+DHA,,mg/d,AI,
0,9,DHA,100,mg/d,AI,
0,9,TFA,ALAP,,AI,
0,9,Total Carbohydrates,,E%,RI,
0,9,Dietary Fibre,,g/d,AI,
0,9,Water,0.8-1.0,L/d,AI,
0,9,Calcium,280,mg/d,PRI,
0,9,Fluoride,0.4,mg/d,AI,
0,9,Iodine,70,μg/d,AI,
0,9,Manganese,0.02-0.5,mg/d,AI,
0,9,Molybdenum,10,μg/d,AI,
0,9,Phosphorus,160,mg/d,AI,
0,9,Potassium,750,mg/d,AI,
0,9,Selenium,15,μg/d,AI,
0,9,Iron,11,mg/d,PRI,
0,9,Copper,0.4,mg/d,AI,
0,9,Magnesium,80,mg/d,AI,
0,9,Zinc,2.9,mg/d,PRI,
0,9,α-Tocopherol,5,mg/d,AI,
0,9,Biotin,6,μg/d,AI,
0,9,Choline,160,mg/d,AI,
0,9,Cobalamin,1.5,μg/d,AI,
0,9,Folate,80,μg DFE/d,PRI,
0,9,Niacin,1.6,mg NE/MJ,PRI,
0,9,Pantothenic Acid,3,mg/d,AI,
0,9,Riboflavin,0.4,mg/d,PRI,
0,9,Thiamin,0.1,mg/MJ,PRI,
0,9,Vitamin A,250,μg RE/d,PRI,
0,9,Vitamin B6,0.3,mg/d,PRI,
0,9,Vitamin C,20,mg/d,PRI,
0,9,Vitamin D,10,μg/d,AI,
0,9,Vitamin K,10,μg/d,AI,
0,10,Protein,1.31,g/kg bw per day,PRI,
0,10,Total Fat,40,E%,RI,
0,10,SFA,ALAP,,AI,
0,10,LA,4,E%,AI,
0,10,ALA,0.5,E%,AI,
0,10,EPA+DHA,,mg/d,AI,
0,10,DHA,100,mg/d,AI,
0,10,TFA,ALAP,,AI,
0,10,Total Carbohydrates,,E%,RI,
0,10,Dietary Fibre,,g/d,AI,
0,10,Water,0.8-1.0,L/d,AI,
0,10,Calcium,280,mg/d,PRI,
0,10,Fluoride,0.4,mg/d,AI,
0,10,Iodine,70,μg/d,AI,
0,10,Manganese,0.02-0.5,mg/d,AI,
0,10,Molybdenum,10,μg/d,AI,
0,10,Phosphorus,160,mg/d,AI,
0,10,Potassium,750,mg/d,AI,
0,10,Selenium,15,μg/d,AI,
0,10,Iron,11,mg/d,PRI,
0,10,Copper,0.4,mg/d,AI,
0,10,Magnesium,80,mg/d,AI,
0,10,Zinc,2.9,mg/d,PRI,
0,10,α-Tocopherol,5,mg/d,AI,
